open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base_vol,taker_buy_quote_vol
1741284240000,0.201480,0.20214,0.20023,0.201340,160380462.0,1741287599999,32278721.009660013,62673,92002511.0,18522245.486020003
1741287600000,0.201330,0.20196,0.19886,0.199670,276428538.0,1741291199999,55378924.96898999,88498,117379678.0,23524833.16962
1741291200000,0.199680,0.20154,0.19925,0.200460,168106699.0,1741294799999,33707706.953609996,67596,95504250.0,19154524.210249994
1741294800000,0.200470,0.20269,0.20011,0.201570,159567777.0,1741298399999,32124528.60767999,59825,92861006.0,18698364.787120003
1741298400000,0.201570,0.20475,0.20108,0.202410,252958559.0,1741301999999,51308216.946090005,92092,136362431.0,27672442.584740005
1741302000000,0.202410,0.20316,0.20128,0.201400,119687750.0,1741305599999,24216871.366970014,52682,60913282.0,12327056.311410004
1741305600000,0.201390,0.20401,0.19011,0.191710,936411126.0,1741309199999,183138288.53046003,341063,438867642.0,85837820.58947998
1741309200000,0.191710,0.19987,0.19101,0.197460,440303429.0,1741312799999,86286906.78184998,176688,219231915.0,42960213.36364001
1741312800000,0.197450,0.19879,0.19619,0.197100,201255444.0,1741316399999,39742920.29804001,90256,101038246.0,19959090.272370003
1741316400000,0.197100,0.19827,0.19596,0.196270,126462379.0,1741319999999,24919354.498869997,67440,57724961.0,11374642.68678
1741320000000,0.196270,0.1982,0.19603,0.197290,111519919.0,1741323599999,21995014.526089996,53784,56729111.0,11189061.830720002
1741323600000,0.197290,0.20012,0.19718,0.199090,125721513.0,1741327199999,25008950.46865001,60174,65539477.0,13036409.608989999
1741327200000,0.199080,0.20042,0.19794,0.199910,105276424.0,1741330799999,20969180.14578999,46712,54411794.0,10840672.002439998
1741330800000,0.199920,0.20103,0.19942,0.200670,120062100.0,1741334399999,24039596.26005,53545,63478340.0,12714081.731899997
1741334400000,0.200670,0.20097,0.19952,0.200320,92754391.0,1741337999999,18568004.13646,50189,43511284.0,8710186.760040002
1741338000000,0.200320,0.20368,0.20022,0.201790,202282911.0,1741341599999,40859786.63688,78206,113617687.0,22947119.935919996
1741341600000,0.201790,0.20364,0.20145,0.203600,105617004.0,1741345199999,21401635.279999997,53215,56633511.0,11476486.522070002
1741345200000,0.203600,0.20545,0.2031,0.204220,191497445.0,1741348799999,39112543.99611001,70009,89250839.0,18236404.812919997
1741348800000,0.204220,0.20509,0.20184,0.203110,227315276.0,1741352399999,46206841.425179996,80053,101802688.0,20704583.406060006
1741352400000,0.203110,0.20796,0.20308,0.204170,397724440.0,1741355999999,81766501.76371,153872,206092423.0,42380864.564220004
1741356000000,0.204170,0.20859,0.20289,0.206040,364739520.0,1741359599999,75071251.80403002,148752,172634904.0,35540369.83757001
1741359600000,0.206030,0.20765,0.20251,0.204860,398848689.0,1741363199999,81780032.37309998,145521,199073800.0,40815612.58934
1741363200000,0.204850,0.2057,0.19824,0.199960,457491647.0,1741366799999,92255827.37385999,186626,214420015.0,43249676.1071
1741366800000,0.199950,0.20574,0.19932,0.203240,324502844.0,1741370399999,65570815.13400001,130610,173354112.0,35040991.08511999
1741370400000,0.203250,0.20684,0.20261,0.206350,229127936.0,1741373999999,46974176.18062001,98541,124684368.0,25577306.132069997
1741374000000,0.206350,0.20711,0.20378,0.205300,169653670.0,1741377599999,34893689.36334,79752,81010355.0,16668261.54654
1741377600000,0.205290,0.20714,0.20276,0.204860,231146456.0,1741381199999,47358903.89667,103956,117610477.0,24105655.067680005
1741381200000,0.204840,0.20535,0.19941,0.200730,386692394.0,1741384799999,78000368.14970002,143880,188404255.0,38017127.33055002
1741384800000,0.200730,0.20093,0.19746,0.199750,178915911.0,1741388399999,35617423.86641,77533,81286680.0,16183398.5201
1741388400000,0.199750,0.19975,0.19576,0.198290,190841724.0,1741391999999,37662553.757029995,92144,84326717.0,16641685.272120003
1741392000000,0.198300,0.2002,0.19739,0.199950,176442850.0,1741395599999,35103647.84525001,72788,101874832.0,20270498.941
1741395600000,0.199950,0.2008,0.19508,0.198170,231657943.0,1741399199999,45907058.21463001,86170,102647775.0,20338347.78305999
1741399200000,0.198160,0.19881,0.19712,0.198140,96308442.0,1741402799999,19064766.01945,49988,47902629.0,9482690.51295
1741402800000,0.198140,0.19816,0.19565,0.197400,84268799.0,1741406399999,16595502.78474,48833,42227819.0,8317555.3353900025
1741406400000,0.197410,0.19944,0.19616,0.199280,95703188.0,1741409999999,18963847.102649998,53969,49583224.0,9824425.757259998
1741410000000,0.199290,0.19942,0.1966,0.197580,109367370.0,1741413599999,21628214.588159997,50370,62811020.0,12419456.71085
1741413600000,0.197590,0.19845,0.19671,0.197540,88346281.0,1741417199999,17452979.512450002,43459,42726086.0,8439662.270590004
1741417200000,0.197540,0.19806,0.19591,0.196310,106495010.0,1741420799999,20973062.70641,41769,47548969.0,9366779.96364
1741420800000,0.196300,0.19674,0.19521,0.195310,93619275.0,1741424399999,18333334.361309998,44666,48742198.0,9546111.58167
1741424400000,0.195300,0.19708,0.1941,0.194580,150799367.0,1741427999999,29498143.255230013,60369,73874820.0,14461376.378099997
1741428000000,0.194570,0.19582,0.19433,0.195180,83549853.0,1741431599999,16304755.178229995,44099,40990312.0,7999328.5678199995
1741431600000,0.195180,0.1952,0.193,0.194240,206011312.0,1741435199999,39917921.18208001,71999,94590376.0,18324729.249019995
1741435200000,0.194240,0.19538,0.19328,0.194830,146997295.0,1741438799999,28612514.481869996,60723,68735507.0,13381875.501529997
1741438800000,0.194830,0.19597,0.19412,0.195300,101759261.0,1741442399999,19859604.079499997,48577,58019936.0,11325495.121320007
1741442400000,0.195300,0.19659,0.1948,0.194970,109898416.0,1741445999999,21509071.892769992,50013,57626259.0,11281897.346990002
1741446000000,0.194970,0.19583,0.19375,0.194540,103615250.0,1741449599999,20175871.961600006,46400,46968614.0,9146480.429370003
1741449600000,0.194550,0.19501,0.19103,0.192740,247942032.0,1741453199999,47689328.46056,85598,115620426.0,22236367.226430003
1741453200000,0.192750,0.19436,0.19106,0.193270,192816274.0,1741456799999,37142429.21647997,78929,90988458.0,17534988.465749998
1741456800000,0.193270,0.1938,0.19263,0.193720,64990929.0,1741460399999,12562388.021690005,37137,28375256.0,5485940.767959999
1741460400000,0.193720,0.19542,0.19279,0.194790,90190686.0,1741463999999,17528160.331300005,48533,41831932.0,8130073.081039999
1741464000000,0.194790,0.19497,0.19378,0.193880,51784566.0,1741467599999,10056678.12057,28824,27822657.0,5403172.64259
1741467600000,0.193880,0.19523,0.19385,0.194040,64200594.0,1741471199999,12485848.712570002,30256,32410891.0,6302758.594649999
1741471200000,0.194050,0.19423,0.19153,0.192840,111250290.0,1741474799999,21460540.399069995,40090,50303960.0,9700531.352490002
1741474800000,0.192840,0.19298,0.19135,0.192200,70872800.0,1741478399999,13614151.8176,37010,31795338.0,6108799.914660001
1741478400000,0.192200,0.1938,0.1913,0.193240,78104042.0,1741481999999,15065609.140290001,41555,41436376.0,7993791.246449997
1741482000000,0.193240,0.19414,0.1912,0.191340,72986191.0,1741485599999,14057648.02343,40738,32178540.0,6200012.415399999
1741485600000,0.191330,0.19189,0.18946,0.189880,167480743.0,1741489199999,31924491.137389988,59818,68184159.0,13004815.284329997
1741489200000,0.189890,0.19141,0.18924,0.190710,116212211.0,1741492799999,22132072.330030005,49647,62450070.0,11892834.493199993
1741492800000,0.190710,0.19086,0.18979,0.190670,75259833.0,1741496399999,14320081.670179991,40386,38472164.0,7320992.88609
1741496400000,0.190660,0.1915,0.19003,0.190310,85076067.0,1741499999999,16227359.817120003,38950,44072615.0,8407635.382549997
1741500000000,0.190310,0.1905,0.18861,0.190030,132463054.0,1741503599999,25105248.569679987,54033,52036846.0,9866962.296740003
1741503600000,0.190030,0.19197,0.18963,0.191330,121186390.0,1741507199999,23166757.471150003,43195,55219681.0,10556048.117580002
1741507200000,0.191330,0.19136,0.18968,0.189790,88791346.0,1741510799999,16913921.103490002,38660,40054349.0,7634183.684799999
1741510800000,0.189800,0.19004,0.18763,0.187960,176316184.0,1741514399999,33289958.793049995,57035,71104040.0,13427811.708130002
1741514400000,0.187950,0.18836,0.18368,0.184540,413572401.0,1741517999999,76973583.55919,121887,170998528.0,31820865.627229992
1741518000000,0.184550,0.18587,0.18441,0.185140,195035466.0,1741521599999,36111070.29798,64757,95491127.0,17683975.089870002
1741521600000,0.185140,0.18518,0.18318,0.184260,219910346.0,1741525199999,40508849.34594,77373,100652718.0,18540813.72732
1741525200000,0.184250,0.18478,0.18001,0.180140,375381634.0,1741528799999,68463835.25067,105394,147875981.0,26978795.611700006
1741528800000,0.180140,0.18195,0.17925,0.181030,427684245.0,1741532399999,77259004.40604998,124653,212260738.0,38358226.81491001
1741532400000,0.181020,0.18118,0.17597,0.177260,499957979.0,1741535999999,89067190.39991,133874,214742128.0,38265970.80257
1741536000000,0.177260,0.17788,0.17032,0.170550,1009159409.0,1741539599999,175461829.49454004,263619,480301155.0,83518542.18667
1741539600000,0.170550,0.17273,0.16641,0.167960,864007280.0,1741543199999,146711995.29116002,235116,430165714.0,73044286.00411
1741543200000,0.167950,0.17117,0.16524,0.169040,826495947.0,1741546799999,138981276.49181002,245519,417939993.0,70295351.02119996
1741546800000,0.169050,0.17234,0.16834,0.171380,394584756.0,1741550399999,67280847.86445,137968,218568407.0,37286881.47847
1741550400000,0.171380,0.17262,0.17067,0.171190,231672293.0,1741553999999,39771401.38341998,86974,113796099.0,19540648.911970004
1741554000000,0.171190,0.1715,0.16784,0.168690,215491832.0,1741557599999,36510706.02717999,69789,94173211.0,15950296.170459997
1741557600000,0.168700,0.16881,0.16641,0.166790,288975388.0,1741561199999,48429012.07724,89313,118226466.0,19828211.080569994
1741561200000,0.166790,0.1692,0.16541,0.167990,303625069.0,1741564799999,50827873.24074,109293,147889891.0,24764871.105059996
1741564800000,0.168000,0.1711,0.16445,0.170280,529130946.0,1741568399999,88902284.70619,181224,254252523.0,42743367.269940004
1741568400000,0.170280,0.17234,0.1689,0.171100,288045345.0,1741571999999,49214540.920219995,114781,150703179.0,25754898.815290004
1741572000000,0.171100,0.17403,0.17045,0.172350,280735890.0,1741575599999,48462055.34775001,104837,152166396.0,26269408.582380008
1741575600000,0.172350,0.17281,0.17052,0.171690,158672531.0,1741579199999,27220507.36173001,70695,77373057.0,13276591.857300006
1741579200000,0.171690,0.17448,0.17153,0.174420,163091306.0,1741582799999,28288585.11617999,74998,87792313.0,15225860.189530002
1741582800000,0.174420,0.17497,0.17289,0.173510,161489533.0,1741586399999,28067387.288709994,58572,76438927.0,13286983.601039998
1741586400000,0.173520,0.17384,0.17174,0.172850,172827469.0,1741589999999,29831670.42008,62912,86801638.0,14986048.060190003
1741590000000,0.172850,0.17469,0.17219,0.173710,167676808.0,1741593599999,29049092.840730008,63320,78713374.0,13636900.038940003
1741593600000,0.173710,0.1738,0.17042,0.170790,236792282.0,1741597199999,40670602.55378001,87306,106580398.0,18310253.43407
1741597200000,0.170780,0.1809,0.17076,0.174280,911146650.0,1741600799999,160905278.62861,250873,457701628.0,80903910.63462
1741600800000,0.174270,0.17529,0.17214,0.174010,262837356.0,1741604399999,45642980.828529984,105035,135329145.0,23507237.37988999
1741604400000,0.174010,0.17821,0.17335,0.177310,258461273.0,1741607999999,45383889.41356,98397,123234740.0,21641775.80071
1741608000000,0.177300,0.17835,0.17455,0.176170,290197430.0,1741611599999,51168731.01597001,112785,137274483.0,24197566.357120004
1741611600000,0.176170,0.17665,0.17085,0.171360,363541290.0,1741615199999,62966946.45254,145807,178700020.0,30945710.67188
1741615200000,0.171350,0.17135,0.1639,0.165680,952284952.0,1741618799999,159267193.75384006,320435,442187412.0,73971060.25463001
1741618800000,0.165670,0.1701,0.16474,0.167130,426648405.0,1741622399999,71485537.51232998,165060,218863330.0,36673307.55932001
1741622400000,0.167120,0.16778,0.16192,0.162760,445121653.0,1741625999999,73194534.94036001,165195,205346935.0,33764835.19282999
1741626000000,0.162770,0.16322,0.15707,0.157940,850063990.0,1741629599999,135855131.66426995,258678,396852906.0,63429478.969530016
1741629600000,0.157940,0.1605,0.15165,0.152050,665934489.0,1741633199999,104041932.51403001,210368,309365318.0,48403051.497350015
1741633200000,0.152040,0.15848,0.15039,0.157420,795119324.0,1741636799999,123033166.63143,239556,397451317.0,61581492.517589994
1741636800000,0.157430,0.15854,0.15543,0.157200,289986585.0,1741640399999,45550900.98933001,116116,156658388.0,24611898.241030004
1741640400000,0.157190,0.1584,0.15564,0.156970,211667948.0,1741643999999,33267194.808539994,84484,111567749.0,17535455.779499996
1741644000000,0.156970,0.15765,0.15455,0.155340,208355827.0,1741647599999,32458185.69003,87476,103961816.0,16200684.881579999
1741647600000,0.155340,0.15656,0.1535,0.154010,258123606.0,1741651199999,40036478.52295999,101371,128020131.0,19860506.055570003
1741651200000,0.154020,0.1567,0.14269,0.148120,1322648244.0,1741654799999,196317831.00305003,390401,625705660.0,92872198.73165001
1741654800000,0.148110,0.15309,0.14378,0.153010,1033835203.0,1741658399999,152655341.41489002,342944,535511825.0,79084867.96268
1741658400000,0.153020,0.1551,0.1525,0.154270,456006884.0,1741661999999,70113020.6311,161103,216636847.0,33320960.78298
1741662000000,0.154270,0.15644,0.15415,0.154340,239693994.0,1741665599999,37187004.09608001,102656,121449002.0,18840196.93812
1741665600000,0.154340,0.15728,0.15393,0.156310,352791288.0,1741669199999,54986047.36421999,109295,187191002.0,29173311.860499993
1741669200000,0.156300,0.15956,0.15606,0.158700,325327702.0,1741672799999,51469024.150740005,119223,170298992.0,26938645.746609997
1741672800000,0.158710,0.16015,0.157,0.157260,265861566.0,1741676399999,42174833.42177999,89720,123416742.0,19587628.543809995
1741676400000,0.157250,0.15983,0.15706,0.158680,185897400.0,1741679999999,29464096.386469997,71890,94395526.0,14963949.585179998
1741680000000,0.158680,0.16117,0.1583,0.159590,259007291.0,1741683599999,41401594.37043001,92246,125434734.0,20051569.238339994
1741683600000,0.159590,0.16229,0.15955,0.160210,333290895.0,1741687199999,53628318.15191,95632,170417312.0,27420954.299540006
1741687200000,0.160220,0.16219,0.15952,0.161660,171301799.0,1741690799999,27591090.23068999,69850,84347371.0,13590306.36825
1741690800000,0.161660,0.16266,0.15998,0.161570,199678868.0,1741694399999,32203564.180359997,72951,93959836.0,15159088.811560005
